ExtensionName,ExtensionId
AdGuard VPN free & secure proxy for Chrome,hhdobjgopfphlmjbmnpglhfcgppchgje
Browsec VPN - Free VPN for Chrome,omghfjlpggmjjaagoclmmobgdodcjboh
Browsec VPN - Free VPN for Firefox,browsec@browsec.com
ExpressVPN: VPN proxy for a better internet,fgddmllnllkalaagkghckoinaemmogpe
FastProxy - обход блокировки сайтов,mkelkmkgljeohnaeehnnkmdpocfmkmmf
FoxyProxy Standard,foxyproxy@eric.h.jung
Free One Touch VPN,inligpkjkhbpifecbdjhmdpcfhnlelja
Free VPN Chrome extension - Best VPN by uVPN,jaoafpkngncfpfggjefnekilbkcpjdgp
Free VPN Proxy and ad blocker - Planet VPN,hipncndjamdcmphkgngojegjblibadbe
Free VPN for Chrome - Troywell VPN,adlpodnneegcnbophopdmhedicjbcgco
Free VPN for Chrome - VPN Proxy VeePN,majdfhpaihoncoakbjgbdhglocklcgno
Greenhub Free VPN - Secure and Unblock VPN,knmhokeiipedacnhpjklbjmfgedfohco
Hola VPN - The Website Unblocker,gkojfkhlekighikafcpjkiklfbnlmeio
Hotspot Shield Free VPN Proxy - Unlimited VPN,nlbejmccbhkncgokjcmghpfloaajcffj
Hotspot Shield Free VPN Proxy - Unlimited VPN,ejkaocphofnobjdedneohbbiilggdlbi
Hub VPN - Free VPN Proxy,lneaocagcijjdpkcabeanfpdbmapcjjg
SetupVPN - Lifetime Free VPN,oofgbpoabipfcfjapgnbbjjaenockbdp
Stay secure with CyberGhost VPN Free Proxy,ffbkglfijbcbgblgflchnbphjdllaogb
Touch VPN - Secure and unlimited VPN proxy,bihmplhobchoageeokmgbdihknkjbknd
TunnelBear VPN,omdakjcmkglenbhjadbccaookpfjihpa
Urban VPN Proxy,eppiocemhmnlbhjplcgkofciiegomcon
VPN-free.pro - Free Unlimited VPN,bibjcjfmgapbfoljiojpipaooddpkpai
ZenMate Free VPN–Best VPN for Chrome,fdcgdnkidjaadafnichfpabhfomcebme
